Bus_num,Bus_Code,Voltage_Mag,Angle_Deg,Load_MW,Load_Mvar,Gen_MW,Gen_Mvar,GenQmax,GenQmin,posQc_negQc,ansVolage_Mag,ansAngle_Deg,ansLoad_MW,ansLoad_Mvar,ansGen_MW,ansGen_Mvar,Injected_MVAR
1,1,1.00520719009616,0,0,0,0,0,0,0,0,1.00520719009616,0,0,0,71.7959122167549,-16.739227761639,0
2,0,1,0,36,14,25,41,0,0,0,0.988671867074261,-3.45352277565155,36,14,25,41,0
3,0,1,0,30,24,0,0,0,0,0,0.965229913073308,-4.65281996983557,30,24,0,0,0
4,0,1,0,28,5,0,0,0,0,0,0.965834639887462,-5.83974174225005,28,5,0,0,0
1,1,1.05708046569967,0,0,0,0,0,0,0,0,1.05708046569967,0,0,0,82.5868026240423,-1.20159818443994,0
2,0,1,0,45,23,37,34,0,0,0,1.0402632394813,-2.31183853608463,45,23,37,34,0
3,0,1,0,39,21,0,0,0,0,0,1.03242183735323,-2.84299661617405,39,21,0,0,0
4,0,1,0,34,19,0,0,0,0,0,1.01245365764312,-4.87312216677891,34,19,0,0,0
1,1,1.03501718027408,0,0,0,0,0,0,0,0,1.03501718027408,0,0,0,58.5125626278887,-23.2936270687985,0
2,0,1,0,31,21,44,49,0,0,0,1.05196020313082,-2.6848948775464,31,21,44,49,0
3,0,1,0,31,10,0,0,0,0,0,1.02541087397522,-2.1306688369527,31,10,0,0,0
4,0,1,0,39,19,0,0,0,0,0,1.02024121733938,-3.96607491978387,39,19,0,0,0
1,1,1.05060877451295,0,0,0,0,0,0,0,0,1.05060877451295,0,0,0,73.5539316732301,-21.0668234786224,0
2,0,1,0,30,24,27,49,0,0,0,1.06097421994077,-4.88556193042166,30,24,27,49,0
3,0,1,0,21,25,0,0,0,0,0,1.03100199581627,-7.271010300854,21,25,0,0,0
4,0,1,0,47,6,0,0,0,0,0,1.01906364174788,-7.80974417344572,47,6,0,0,0
1,1,1.00936935256571,0,0,0,0,0,0,0,0,1.00936935256571,0,0,0,96.3818252547345,-39.7537191860756,0
2,0,1,0,43,5,36,48,0,0,0,1.05546542281252,-4.70833280884646,43,5,36,48,0
3,0,1,0,45,16,0,0,0,0,0,1.01449734852688,-4.47027971251378,45,16,0,0,0
4,0,1,0,43,10,0,0,0,0,0,1.02802315206628,-6.02342389640426,43,10,0,0,0
1,1,1.02263130270858,0,0,0,0,0,0,0,0,1.02263130270858,0,0,0,88.807465477476,2.48634802120495,0
2,0,1,0,34,24,28,25,0,0,0,1.01238079829285,-5.19317043712988,34,24,28,25,0
3,0,1,0,34,13,0,0,0,0,0,0.997796835316663,-5.98865171371003,34,13,0,0,0
4,0,1,0,47,12,0,0,0,0,0,0.988336639146767,-7.68467775414688,47,12,0,0,0
1,1,1.08500687468355,0,0,0,0,0,0,0,0,1.08500687468355,0,0,0,75.1602452819382,-35.629789104112,0
2,0,1,0,41,12,46,40,0,0,0,1.08563220675677,-2.3522803127929,41,12,46,40,0
3,0,1,0,31,9,0,0,0,0,0,1.07345091848978,-2.36580011857919,31,9,0,0,0
4,0,1,0,47,13,0,0,0,0,0,1.06500808852175,-4.94415662084755,47,13,0,0,0
1,1,1.08931211843503,0,0,0,0,0,0,0,0,1.08931211843503,0,0,0,71.3224539383029,-16.1814302449116,0
2,0,1,0,21,14,48,26,0,0,0,1.09143316908586,-2.00665776672898,21,14,48,26,0
3,0,1,0,48,14,0,0,0,0,0,1.07723029824799,-1.25768008698537,48,14,0,0,0
4,0,1,0,49,20,0,0,0,0,0,1.07920121724445,-2.15919955270906,49,20,0,0,0
1,1,1.06275879132405,0,0,0,0,0,0,0,0,1.06275879132405,0,0,0,49.9164608732384,-35.2003680431469,0
2,0,1,0,24,20,40,40,0,0,0,1.08131051535203,-1.70845316351,24,20,40,40,0
3,0,1,0,21,18,0,0,0,0,0,1.06859556246714,-1.26647396041157,21,18,0,0,0
4,0,1,0,44,13,0,0,0,0,0,1.06448809820792,-1.98042330918371,44,13,0,0,0
1,1,1.06947704102493,0,0,0,0,0,0,0,0,1.06947704102493,0,0,0,68.1097799587542,-31.3847442696895,0
2,0,1,0,43,10,46,40,0,0,0,1.09789075040107,-3.19523410348042,43,10,46,40,0
3,0,1,0,31,10,0,0,0,0,0,1.07566321201826,-5.03595997801432,31,10,0,0,0
4,0,1,0,39,17,0,0,0,0,0,1.06790511503873,-5.5520378686617,39,17,0,0,0
1,1,1.00615558568796,0,0,0,0,0,0,0,0,1.00615558568796,0,0,0,43.2864885151433,-28.9281794843866,0
2,0,1,0,26,20,48,48,0,0,0,1.0192649980822,-0.994729852160883,26,20,48,48,0
3,0,1,0,29,13,0,0,0,0,0,0.995332764666394,-1.5385446749055,29,13,0,0,0
4,0,1,0,35,17,0,0,0,0,0,0.990665452877407,-2.43420475442586,35,17,0,0,0
1,1,1.01610935798217,0,0,0,0,0,0,0,0,1.01610935798217,0,0,0,92.6218161124373,-12.5147199887893,0
2,0,1,0,43,20,25,42,0,0,0,0.999234000223885,-2.48082506011398,43,20,25,42,0
3,0,1,0,34,18,0,0,0,0,0,0.968200008676417,-1.82633455998945,34,18,0,0,0
4,0,1,0,36,12,0,0,0,0,0,0.960337252457126,-2.44134618215596,36,12,0,0,0
1,1,1.08876680209178,0,0,0,0,0,0,0,0,1.08876680209178,0,0,0,54.8527570607394,-11.1184833040413,0
2,0,1,0,32,15,44,44,0,0,0,1.10016097994838,-1.92956009235252,32,15,44,44,0
3,0,1,0,45,24,0,0,0,0,0,1.07061133553086,-2.74163976207869,45,24,0,0,0
